Fecha;TasaTPIB;EuriborM;ParoT;SalarioMedio;IPC;C.TotalConsumo
31/01/2002;0.4307;3.483;11.55;18601;-0.1;432783
28/02/2002;0.4307;3.594;11.55;18601;0.1;432783
31/03/2002;0.4307;3.816;11.55;18601;0.8;432783
30/04/2002;0.8211;3.86;11.15;18601;1.4;432783
31/05/2002;0.8211;3.963;11.15;18601;0.4;432783
30/06/2002;0.8211;3.869;11.15;18601;0;432783
31/07/2002;0.617;3.645;11.49;18601;-0.7;432783
31/08/2002;0.617;3.44;11.49;18601;0.3;432783
30/09/2002;0.617;3.236;11.49;18601;0.4;432783
31/10/2002;0.7484;3.126;11.61;18601;1;432783
30/11/2002;0.7484;3.017;11.61;18601;0.2;432783
31/12/2002;0.7484;2.873;11.61;18601;0.3;432783
31/01/2003;0.9365;2.705;11.99;19385;-0.4;457473
28/02/2003;0.9365;2.504;11.99;19385;0.2;457473
31/03/2003;0.9365;2.411;11.99;19385;0.7;457473
30/04/2003;0.5271;2.447;11.28;19385;0.8;457473
31/05/2003;0.5271;2.252;11.28;19385;-0.1;457473
30/06/2003;0.5271;2.014;11.28;19385;0.1;457473
31/07/2003;0.66;2.076;11.3;19385;-0.6;457473
31/08/2003;0.66;2.279;11.3;19385;0.5;457473
30/09/2003;0.66;2.258;11.3;19385;0.3;457473
31/10/2003;0.8522;2.303;11.37;19385;0.7;457473
30/11/2003;0.8522;2.41;11.37;19385;0.3;457473
31/12/2003;0.8522;2.381;11.37;19385;0.2;457473
31/01/2004;0.6086;2.216;11.5;20045;-0.7;492934
29/02/2004;0.6086;2.163;11.5;20045;0;492934
31/03/2004;0.6086;2.055;11.5;20045;0.7;492934
30/04/2004;0.9833;2.163;11.09;20045;1.4;492934
31/05/2004;0.9833;2.297;11.09;20045;0.6;492934
30/06/2004;0.9833;2.404;11.09;20045;0.2;492934
31/07/2004;0.9412;2.361;10.74;20045;-0.8;492934
31/08/2004;0.9412;2.302;10.74;20045;0.4;492934
30/09/2004;0.9412;2.377;10.74;20045;0.2;492934
31/10/2004;0.6718;2.316;10.53;20045;1;492934
30/11/2004;0.6718;2.328;10.53;20045;0.2;492934
31/12/2004;0.6718;2.301;10.53;20045;-0.1;492934
31/01/2005;0.9816;2.312;10.17;20616;-0.8;530024
28/02/2005;0.9816;2.31;10.17;20616;0.3;530024
31/03/2005;0.9816;2.335;10.17;20616;0.8;530024
30/04/2005;0.8886;2.265;9.32;20616;1.4;530024
31/05/2005;0.8886;2.193;9.32;20616;0.2;530024
30/06/2005;0.8886;2.103;9.32;20616;0.2;530024
31/07/2005;0.9675;2.168;8.41;20616;-0.6;530024
31/08/2005;0.9675;2.223;8.41;20616;0.4;530024
30/09/2005;0.9675;2.219;8.41;20616;0.6;530024
31/10/2005;1.015;2.414;8.71;20616;0.8;530024
30/11/2005;1.015;2.684;8.71;20616;0.2;530024
31/12/2005;1.015;2.783;8.71;20616;0.2;530024
31/01/2006;1.1505;2.833;9.03;21168;-0.4;570855
28/02/2006;1.1505;2.914;9.03;21168;0;570855
31/03/2006;1.1505;3.105;9.03;21168;0.7;570855
30/04/2006;0.9754;3.221;8.44;21168;1.4;570855
31/05/2006;0.9754;3.308;8.44;21168;0.4;570855
30/06/2006;0.9754;3.401;8.44;21168;0.2;570855
31/07/2006;0.9299;3.539;8.08;21168;-0.6;570855
31/08/2006;0.9299;3.615;8.08;21168;0.2;570855
30/09/2006;0.9299;3.715;8.08;21168;-0.2;570855
31/10/2006;0.9489;3.799;8.26;21168;0.4;570855
30/11/2006;0.9489;3.864;8.26;21168;0.2;570855
31/12/2006;0.9489;3.921;8.26;21168;0.3;570855
31/01/2007;0.9203;4.064;8.42;21989;-0.7;609744
28/02/2007;0.9203;4.094;8.42;21989;0.1;609744
31/03/2007;0.9203;4.106;8.42;21989;0.8;609744
30/04/2007;0.9027;4.253;7.93;21989;1.4;609744
31/05/2007;0.9027;4.373;7.93;21989;0.3;609744
30/06/2007;0.9027;4.505;7.93;21989;0.2;609744
31/07/2007;0.7675;4.564;8.01;21989;-0.7;609744
31/08/2007;0.7675;4.666;8.01;21989;0.1;609744
30/09/2007;0.7675;4.724;8.01;21989;0.3;609744
31/10/2007;0.63;4.647;8.57;21989;1.3;609744
30/11/2007;0.63;4.607;8.57;21989;0.7;609744
31/12/2007;0.63;4.793;8.57;21989;0.4;609744
31/01/2008;0.2214;4.498;9.6;23252;-0.6;627013
29/02/2008;0.2214;4.349;9.6;23252;0.2;627013
31/03/2008;0.2214;4.59;9.6;23252;0.9;627013
30/04/2008;0.1154;4.82;10.36;23252;1.1;627013
31/05/2008;0.1154;4.994;10.36;23252;0.7;627013
30/06/2008;0.1154;5.361;10.36;23252;0.6;627013
31/07/2008;-0.1827;5.393;11.23;23252;-0.5;627013
31/08/2008;-0.1827;5.323;11.23;23252;-0.2;627013
30/09/2008;-0.1827;5.384;11.23;23252;0;627013
31/10/2008;-1.6272;5.248;13.79;23252;0.3;627013
30/11/2008;-1.6272;4.35;13.79;23252;-0.4;627013
31/12/2008;-1.6272;3.452;13.79;23252;-0.5;627013
31/01/2009;-2.6003;2.622;17.24;24164;-1.2;598490
28/02/2009;-2.6003;2.135;17.24;24164;0;598490
31/03/2009;-2.6003;1.909;17.24;24164;0.2;598490
30/04/2009;-0.0045;1.771;17.77;24164;1;598490
31/05/2009;-0.0045;1.644;17.77;24164;0;598490
30/06/2009;-0.0045;1.61;17.77;24164;0.4;598490
31/07/2009;0.2136;1.412;17.75;24164;-0.9;598490
31/08/2009;0.2136;1.334;17.75;24164;0.3;598490
30/09/2009;0.2136;1.261;17.75;24164;-0.2;598490
31/10/2009;-0.0349;1.243;18.66;24164;0.7;598490
30/11/2009;-0.0349;1.231;18.66;24164;0.5;598490
31/12/2009;-0.0349;1.242;18.66;24164;0;598490
31/01/2010;-0.0223;1.232;19.84;24786;-1;612349
28/02/2010;-0.0223;1.225;19.84;24786;-0.2;612349
31/03/2010;-0.0223;1.215;19.84;24786;0.7;612349
30/04/2010;0.1562;1.225;19.89;24786;1.1;612349
31/05/2010;0.1562;1.249;19.89;24786;0.2;612349
30/06/2010;0.1562;1.281;19.89;24786;0.2;612349
31/07/2010;-0.0486;1.373;19.59;24786;-0.4;612349
31/08/2010;-0.0486;1.421;19.59;24786;0.3;612349
30/09/2010;-0.0486;1.42;19.59;24786;0.1;612349
31/10/2010;0.0523;1.495;20.11;24786;0.9;612349
30/11/2010;0.0523;1.54;20.11;24786;0.5;612349
31/12/2010;0.0523;1.526;20.11;24786;0.6;612349
31/01/2011;-0.15;1.55;21.08;25515;-0.7;611386
28/02/2011;-0.15;1.714;21.08;25515;0.1;611386
31/03/2011;-0.15;1.924;21.08;25515;0.7;611386
30/04/2011;-0.3105;2.086;20.64;25515;1.2;611386
31/05/2011;-0.3105;2.147;20.64;25515;0;611386
30/06/2011;-0.3105;2.144;20.64;25515;-0.1;611386
31/07/2011;-0.6458;2.183;21.28;25515;-0.5;611386
31/08/2011;-0.6458;2.097;21.28;25515;0.1;611386
30/09/2011;-0.6458;2.067;21.28;25515;0.2;611386
31/10/2011;-0.663;2.11;22.56;25515;0.8;611386
30/11/2011;-0.663;2.044;22.56;25515;0.4;611386
31/12/2011;-0.663;2.004;22.56;25515;0.1;611386
31/01/2012;-0.9313;1.837;24.19;25894;-1.1;602781
29/02/2012;-0.9313;1.678;24.19;25894;0.1;602781
31/03/2012;-0.9313;1.499;24.19;25894;0.7;602781
30/04/2012;-0.9584;1.368;24.4;25894;1.4;602781
31/05/2012;-0.9584;1.266;24.4;25894;-0.1;602781
30/06/2012;-0.9584;1.219;24.4;25894;-0.2;602781
31/07/2012;-0.5197;1.061;24.79;25894;-0.2;602781
31/08/2012;-0.5197;0.877;24.79;25894;0.6;602781
30/09/2012;-0.5197;0.74;24.79;25894;1;602781
31/10/2012;-0.7408;0.65;25.77;25894;0.8;602781
30/11/2012;-0.7408;0.588;25.77;25894;-0.1;602781
31/12/2012;-0.7408;0.549;25.77;25894;0.1;602781
31/01/2013;-0.3076;0.575;26.94;26027;-1.3;590837
28/02/2013;-0.3076;0.594;26.94;26027;0.2;590837
31/03/2013;-0.3076;0.545;26.94;26027;0.4;590837
30/04/2013;-0.0882;0.528;26.06;26027;0.4;590837
31/05/2013;-0.0882;0.484;26.06;26027;0.2;590837
30/06/2013;-0.0882;0.507;26.06;26027;0.1;590837
31/07/2013;-0.0368;0.525;25.65;26027;-0.5;590837
31/08/2013;-0.0368;0.542;25.65;26027;0.3;590837
30/09/2013;-0.0368;0.543;25.65;26027;-0.2;590837
31/10/2013;0.1661;0.541;25.73;26027;0.4;590837
30/11/2013;0.1661;0.506;25.73;26027;0.2;590837
31/12/2013;0.1661;0.543;25.73;26027;0.1;590837
31/01/2014;0.3675;0.562;25.93;26191;-1.3;601586
28/02/2014;0.3675;0.549;25.93;26191;0;601586
31/03/2014;0.3675;0.577;25.93;26191;0.2;601586
30/04/2014;0.4711;0.604;24.47;26191;0.9;601586
