credit_history;purpose;credit_amount;savings_status;employment;installment_commitment;personal_status;age;housing;existing_credits;job;class
'critical/other existing credit';radio/tv;1169;'no known savings';'>=7';4;'male single';67;own;2;skilled;good
'existing paid';radio/tv;5951;'<100';'1<=X<4';2;'female div/dep/mar';22;own;1;skilled;bad
'critical/other existing credit';education;2096;'<100';'4<=X<7';2;'male single';49;own;1;'unskilled resident';good
'existing paid';furniture/equipment;7882;'<100';'4<=X<7';2;'male single';45;'for free';1;skilled;good
'delayed previously';'new car';4870;'<100';'1<=X<4';3;'male single';53;'for free';2;skilled;bad
'existing paid';education;9055;'no known savings';'1<=X<4';2;'male single';35;'for free';1;'unskilled resident';good
'existing paid';furniture/equipment;2835;'500<=X<1000';'>=7';3;'male single';53;own;1;skilled;good
'existing paid';'used car';6948;'<100';'1<=X<4';2;'male single';35;rent;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;3059;'>=1000';'4<=X<7';2;'male div/sep';61;own;1;'unskilled resident';good
'critical/other existing credit';'new car';5234;'<100';unemployed;4;'male mar/wid';28;own;2;'high qualif/self emp/mgmt';bad
'existing paid';'new car';1295;'<100';'<1';3;'female div/dep/mar';25;rent;1;skilled;bad
'existing paid';business;4308;'<100';'<1';3;'female div/dep/mar';24;rent;1;skilled;bad
'existing paid';radio/tv;1567;'<100';'1<=X<4';1;'female div/dep/mar';22;own;1;skilled;good
'critical/other existing credit';'new car';1199;'<100';'>=7';4;'male single';60;own;2;'unskilled resident';bad
'existing paid';'new car';1403;'<100';'1<=X<4';2;'female div/dep/mar';28;rent;1;skilled;good
'existing paid';radio/tv;1282;'100<=X<500';'1<=X<4';4;'female div/dep/mar';32;own;1;'unskilled resident';bad
'critical/other existing credit';radio/tv;2424;'no known savings';'>=7';4;'male single';53;own;2;skilled;good
'no credits/all paid';business;8072;'no known savings';'<1';2;'male single';25;own;3;skilled;good
'existing paid';'used car';12579;'<100';'>=7';4;'female div/dep/mar';44;'for free';1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;3430;'500<=X<1000';'>=7';3;'male single';31;own;1;skilled;good
'critical/other existing credit';'new car';2134;'<100';'1<=X<4';4;'male single';48;own;3;skilled;good
'existing paid';radio/tv;2647;'500<=X<1000';'1<=X<4';2;'male single';44;rent;1;skilled;good
'critical/other existing credit';'new car';2241;'<100';'<1';1;'male single';48;rent;2;'unskilled resident';good
'critical/other existing credit';'used car';1804;'100<=X<500';'<1';3;'male single';44;own;1;skilled;good
'critical/other existing credit';furniture/equipment;2069;'no known savings';'1<=X<4';2;'male mar/wid';26;own;2;skilled;good
'existing paid';furniture/equipment;1374;'<100';'1<=X<4';1;'male single';36;own;1;'unskilled resident';good
'no credits/all paid';radio/tv;426;'<100';'>=7';4;'male mar/wid';39;own;1;'unskilled resident';good
'all paid';radio/tv;409;'>=1000';'1<=X<4';3;'female div/dep/mar';42;rent;2;skilled;good
'existing paid';radio/tv;2415;'<100';'1<=X<4';3;'male single';34;own;1;skilled;good
'delayed previously';business;6836;'<100';'>=7';3;'male single';63;own;2;skilled;bad
'existing paid';business;1913;'>=1000';'<1';3;'male mar/wid';36;own;1;skilled;good
'existing paid';furniture/equipment;4020;'<100';'1<=X<4';2;'male single';27;own;1;skilled;good
'existing paid';'new car';5866;'100<=X<500';'1<=X<4';2;'male single';30;own;2;skilled;good
'critical/other existing credit';business;1264;'no known savings';'>=7';4;'male single';57;rent;1;'unskilled resident';good
'existing paid';furniture/equipment;1474;'<100';'<1';4;'female div/dep/mar';33;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;4746;'<100';'<1';4;'male single';25;own;2;'unskilled resident';bad
'critical/other existing credit';education;6110;'<100';'1<=X<4';1;'male single';31;'for free';1;skilled;good
'existing paid';radio/tv;2100;'<100';'1<=X<4';4;'male single';37;own;1;skilled;bad
'existing paid';'domestic appliance';1225;'<100';'1<=X<4';2;'male single';37;own;1;skilled;good
'existing paid';radio/tv;458;'<100';'1<=X<4';4;'male single';24;own;1;skilled;good
'existing paid';radio/tv;2333;'500<=X<1000';'>=7';4;'male single';30;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1158;'500<=X<1000';'1<=X<4';3;'male div/sep';26;own;1;skilled;good
'delayed previously';repairs;6204;'<100';'1<=X<4';2;'male single';44;own;1;'unskilled resident';good
'critical/other existing credit';'used car';6187;'100<=X<500';'4<=X<7';1;'male mar/wid';24;rent;2;skilled;good
'critical/other existing credit';'used car';6143;'<100';'>=7';4;'female div/dep/mar';58;'for free';2;'unskilled resident';bad
'critical/other existing credit';'new car';1393;'<100';'<1';4;'female div/dep/mar';35;own;2;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;2299;'500<=X<1000';'>=7';4;'male single';39;own;1;skilled;good
'existing paid';'used car';1352;'500<=X<1000';unemployed;1;'female div/dep/mar';23;rent;1;'unemp/unskilled non res';good
'critical/other existing credit';'new car';7228;'<100';'1<=X<4';1;'male single';39;own;2;'unskilled resident';good
'existing paid';radio/tv;2073;'100<=X<500';'1<=X<4';4;'female div/dep/mar';28;own;1;skilled;good
'delayed previously';furniture/equipment;2333;'no known savings';'<1';4;'male single';29;own;1;'unskilled resident';good
'delayed previously';'used car';5965;'<100';'>=7';1;'male single';30;own;2;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1262;'<100';'1<=X<4';3;'male single';25;own;1;skilled;good
'existing paid';'used car';3378;'no known savings';'1<=X<4';2;'male single';31;own;1;skilled;good
'delayed previously';'new car';2225;'<100';'>=7';4;'male single';57;'for free';2;skilled;bad
'all paid';'new car';783;'no known savings';'1<=X<4';1;'male single';26;own;1;'unskilled resident';good
'existing paid';radio/tv;6468;'no known savings';unemployed;2;'male single';52;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;9566;'<100';'1<=X<4';2;'female div/dep/mar';31;own;2;skilled;good
'existing paid';'new car';1961;'<100';'>=7';3;'female div/dep/mar';23;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;6229;'<100';'<1';4;'female div/dep/mar';23;rent;2;'unskilled resident';bad
'existing paid';business;1391;'<100';'1<=X<4';2;'male mar/wid';27;own;1;skilled;good
'critical/other existing credit';radio/tv;1537;'no known savings';'>=7';4;'male single';50;own;2;skilled;good
'no credits/all paid';business;1953;'<100';'>=7';4;'male single';61;'for free';1;'high qualif/self emp/mgmt';bad
'no credits/all paid';business;14421;'<100';'1<=X<4';2;'male single';25;own;1;skilled;bad
'existing paid';radio/tv;3181;'<100';'<1';4;'female div/dep/mar';26;own;1;skilled;good
'existing paid';repairs;5190;'no known savings';'>=7';4;'male single';48;own;4;skilled;good
